Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P0A8N5	reviewed	SYK2_ECOLI	Lysine--tRNA ligase, heat inducible, EC 6.1.1.6 (Lysyl-tRNA synthetase, LysRS)	lysU b4129 JW4090	Escherichia coli (strain K12)	505
P0A8N7	reviewed	EPMA_ECOLI	Elongation factor P--(R)-beta-lysine ligase, EF-P--(R)-beta-lysine ligase, EC 6.3.1.- (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase) (GX)	epmA genX poxA yjeA b4155 JW4116	Escherichia coli (strain K12)	325
P0A8P6	reviewed	XERC_ECOLI	Tyrosine recombinase XerC	xerC b3811 JW3784	Escherichia coli (strain K12)	298
P0A8P8	reviewed	XERD_ECOLI	Tyrosine recombinase XerD	xerD xprB b2894 JW2862	Escherichia coli (strain K12)	298
P0A8Q0	reviewed	FRDC_ECOLI	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein) (Quinol-fumarate reductase subunit C, QFR subunit C)	frdC b4152 JW4113	Escherichia coli (strain K12)	131
P0A8Q3	reviewed	FRDD_ECOLI	Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein) (Quinol-fumarate reductase subunit D, QFR subunit D)	frdD b4151 JW4112	Escherichia coli (strain K12)	119
P0A8S1	reviewed	ARGP_ECOLI	HTH-type transcriptional regulator ArgP (Inhibitor of chromosome initiation) (OriC replication inhibitor)	argP iciA b2916 JW2883	Escherichia coli (strain K12)	297
P0A8S9	reviewed	FLHD_ECOLI	Flagellar transcriptional regulator FlhD	flhD flbB b1892 JW1881	Escherichia coli (strain K12)	116
P0A8T1	reviewed	PRMA_ECOLI	Ribosomal protein L11 methyltransferase, L11 Mtase, EC 2.1.1.-	prmA yhdI b3259 JW3227	Escherichia coli (strain K12)	293
P0A8T7	reviewed	RPOC_ECOLI	DNA-directed RNA polymerase subunit beta', RNAP subunit beta', EC 2.7.7.6 (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC tabB b3988 JW3951	Escherichia coli (strain K12)	1407
P0A8V0	reviewed	RBN_ECOLI	Ribonuclease BN, RNase BN, EC 3.1.-.- (Ribonuclease Z homolog, RNase Z homolog)	rbn elaC rnz b2268 JW2263	Escherichia coli (strain K12)	305
P0A8V2	reviewed	RPOB_ECOLI	DNA-directed RNA polymerase subunit beta, RNAP subunit beta, EC 2.7.7.6 (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB groN nitB rif ron stl stv tabD b3987 JW3950	Escherichia coli (strain K12)	1342
P0A8V6	reviewed	FADR_ECOLI	Fatty acid metabolism regulator protein	fadR oleR thdB b1187 JW1176	Escherichia coli (strain K12)	239
P0A8Y1	reviewed	YJJG_ECOLI	Pyrimidine 5'-nucleotidase YjjG, EC 3.1.3.5 (House-cleaning nucleotidase) (Non-canonical pyrimidine nucleotide phosphatase) (Nucleoside 5'-monophosphate phosphohydrolase) (dUMP phosphatase)	yjjG b4374 JW4336	Escherichia coli (strain K12)	225
P0A8Y3	reviewed	YIHX_ECOLI	Alpha-D-glucose 1-phosphate phosphatase YihX, Alpha-D-glucose-1-P phosphatase, EC 3.1.3.10 (Alpha-D-glucose-1-phosphatase) (Haloacid dehalogenase-like phosphatase 4, HAD4)	yihX b3885 JW5566	Escherichia coli (strain K12)	199
P0A8Y5	reviewed	YIDA_ECOLI	Sugar phosphatase YidA, EC 3.1.3.23	yidA b3697 JW3674	Escherichia coli (strain K12)	270
P0A8Y8	reviewed	ENTH_ECOLI	Proofreading thioesterase EntH, EC 3.1.2.- (Enterobactin synthase component H) (p15)	entH ybdB b0597 JW0589	Escherichia coli (strain K12)	137
P0A903	reviewed	BAMC_ECOLI	Outer membrane protein assembly factor BamC	bamC dapX nlpB b2477 JW2462	Escherichia coli (strain K12)	344
P0A910	reviewed	OMPA_ECOLI	Outer membrane protein A, OmpA (Outer membrane porin A) (Outer membrane protein 3A) (Outer membrane protein B) (Outer membrane protein II*) (Outer membrane protein d)	ompA con tolG tut b0957 JW0940	Escherichia coli (strain K12)	346
P0A912	reviewed	PAL_ECOLI	Peptidoglycan-associated lipoprotein, PAL (Tol-Pal system lipoprotein Pal)	pal excC b0741 JW0731	Escherichia coli (strain K12)	173
P0A921	reviewed	PA1_ECOLI	Phospholipase A1, EC 3.1.1.32, EC 3.1.1.4 (Detergent-resistant phospholipase A, DR-phospholipase A) (Outer membrane phospholipase A, OM PLA, OMPLA) (Phosphatidylcholine 1-acylhydrolase)	pldA b3821 JW3794	Escherichia coli (strain K12)	289
P0A924	reviewed	PGPB_ECOLI	Phosphatidylglycerophosphatase B, EC 3.1.3.27 (Diacylglycerol pyrophosphate phosphatase, DGPP phosphatase, EC 3.1.3.81) (Phosphatidate phosphatase, EC 3.1.3.4) (Undecaprenyl pyrophosphate phosphatase, EC 3.6.1.27) (Undecaprenyl-diphosphatase)	pgpB b1278 JW1270	Escherichia coli (strain K12)	254
P0A935	reviewed	MLTA_ECOLI	Membrane-bound lytic murein transglycosylase A, EC 4.2.2.n1 (Mlt38) (Murein hydrolase A)	mltA mlt ygdM b2813 JW2784	Escherichia coli (strain K12)	365
P0A937	reviewed	BAME_ECOLI	Outer membrane protein assembly factor BamE	bamE smpA b2617 JW2598	Escherichia coli (strain K12)	113
P0A940	reviewed	BAMA_ECOLI	Outer membrane protein assembly factor BamA (Omp85)	bamA yaeT yzzN yzzY b0177 JW0172	Escherichia coli (strain K12)	810
P0A944	reviewed	RIMI_ECOLI	[Ribosomal protein S18]-alanine N-acetyltransferase, EC 2.3.1.266 (KAT) (Peptidyl-lysine N-acetyltransferase, EC 2.3.1.-)	rimI b4373 JW4335	Escherichia coli (strain K12)	148
P0A948	reviewed	RIMJ_ECOLI	[Ribosomal protein S5]-alanine N-acetyltransferase, EC 2.3.1.267 (Acetylating enzyme for N-terminal of ribosomal protein S5)	rimJ b1066 JW1053	Escherichia coli (strain K12)	194
P0A951	reviewed	ATDA_ECOLI	Spermidine N(1)-acetyltransferase, SAT, EC 2.3.1.57 (Spermidine/spermine N(1)-acetyltransferase, SSAT)	speG b1584 JW1576	Escherichia coli (strain K12)	186
P0A953	reviewed	FABB_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 1, EC 2.3.1.41 (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I, KAS I)	fabB fabC b2323 JW2320	Escherichia coli (strain K12)	406
P0A955	reviewed	ALKH_ECOLI	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase, EC 4.1.3.16 (2-keto-4-hydroxyglutarate aldolase, KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase, EC 4.1.2.14 (2-keto-3-deoxy-6-phosphogluconate aldolase, KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase) ]	eda hga kdgA b1850 JW1839	Escherichia coli (strain K12)	213
P0A959	reviewed	ALAA_ECOLI	Glutamate-pyruvate aminotransferase AlaA, EC 2.6.1.2	alaA yfbQ b2290 JW2287	Escherichia coli (strain K12)	405
P0A962	reviewed	ASPG1_ECOLI	L-asparaginase 1, EC 3.5.1.1 (L-asparaginase I, L-ASNase I) (L-asparagine amidohydrolase I)	ansA b1767 JW1756	Escherichia coli (strain K12)	338
P0A964	reviewed	CHEW_ECOLI	Chemotaxis protein CheW	cheW b1887 JW1876	Escherichia coli (strain K12)	167
P0A968	reviewed	CSPD_ECOLI	Cold shock-like protein CspD, CSP-D	cspD cspH ybjA b0880 JW0864	Escherichia coli (strain K12)	74
P0A988	reviewed	DPO3B_ECOLI	Beta sliding clamp, Beta clamp, Sliding clamp (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit)	dnaN b3701 JW3678	Escherichia coli (strain K12)	366
P0A991	reviewed	ALF1_ECOLI	Fructose-bisphosphate aldolase class 1, EC 4.1.2.13 (Fructose-bisphosphate aldolase class I, FBP aldolase)	fbaB dhnA b2097 JW5344	Escherichia coli (strain K12)	350
P0A993	reviewed	F16PA_ECOLI	Fructose-1,6-bisphosphatase class 1, FBPase class 1, EC 3.1.3.11 (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp fdp b4232 JW4191	Escherichia coli (strain K12)	332
P0A998	reviewed	FTNA_ECOLI	Bacterial non-heme ferritin, EC 1.16.3.2 (Ferritin-1)	ftnA ftn gen-165 rsgA b1905 JW1893	Escherichia coli (strain K12)	165
P0A9A6	reviewed	FTSZ_ECOLI	Cell division protein FtsZ	ftsZ sfiB sulB b0095 JW0093	Escherichia coli (strain K12)	383
P0A9A9	reviewed	FUR_ECOLI	Ferric uptake regulation protein, Ferric uptake regulator	fur b0683 JW0669	Escherichia coli (strain K12)	148
P0A9B2	reviewed	G3P1_ECOLI	Glyceraldehyde-3-phosphate dehydrogenase A, GAPDH-A, EC 1.2.1.12 (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA b1779 JW1768	Escherichia coli (strain K12)	331
P0A9B6	reviewed	E4PD_ECOLI	D-erythrose-4-phosphate dehydrogenase, E4PDH, EC 1.2.1.72	epd gapB b2927 JW2894	Escherichia coli (strain K12)	339
P0A9C0	reviewed	GLPA_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit A, G-3-P dehydrogenase, EC 1.1.5.3	glpA b2241 JW2235	Escherichia coli (strain K12)	542
P0A9C5	reviewed	GLN1B_ECOLI	Glutamine synthetase, GS, EC 6.3.1.2 (Glutamate--ammonia ligase) (Glutamine synthetase I beta, GSI beta)	glnA b3870 JW3841	Escherichia coli (strain K12)	469
P0A9C9	reviewed	GLPX_ECOLI	Fructose-1,6-bisphosphatase 1 class 2, FBPase 1 class 2, EC 3.1.3.11 (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1 class 2)	glpX b3925 JW3896	Escherichia coli (strain K12)	336
P0A9D2	reviewed	GSTA_ECOLI	Glutathione S-transferase GstA, EC 2.5.1.18 (GST B1-1)	gstA gst b1635 JW1627	Escherichia coli (strain K12)	201
P0A9D8	reviewed	DAPD_ECOLI	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase, EC 2.3.1.117 (Succinyl-CoA: tetrahydrodipicolinate N-succinyltransferase) (Tetrahydrodipicolinate N-succinyltransferase, THDP succinyltransferase, THP succinyltransferase, Tetrahydropicolinate succinylase)	dapD b0166 JW0161	Escherichia coli (strain K12)	274
P0A9E0	reviewed	ARAC_ECOLI	Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)	araC b0064 JW0063	Escherichia coli (strain K12)	292
P0A9E5	reviewed	FNR_ECOLI	Fumarate and nitrate reduction regulatory protein	fnr nirR b1334 JW1328	Escherichia coli (strain K12)	250
P0A9G4	reviewed	CUER_ECOLI	HTH-type transcriptional regulator CueR (Copper efflux regulator) (Copper export regulator)	cueR copR ybbI b0487 JW0476	Escherichia coli (strain K12)	135
P0A9G6	reviewed	ACEA_ECOLI	Isocitrate lyase, ICL, EC 4.1.3.1 (Isocitrase) (Isocitratase)	aceA icl b4015 JW3975	Escherichia coli (strain K12)	434
P0A9G8	reviewed	MODE_ECOLI	DNA-binding transcriptional dual regulator ModE	modE modR b0761 JW0744	Escherichia coli (strain K12)	262
P0A9H3	reviewed	LDCI_ECOLI	Inducible lysine decarboxylase, LDCI, EC 4.1.1.18	cadA ldcI b4131 JW4092	Escherichia coli (strain K12)	715
P0A9H7	reviewed	CFA_ECOLI	Cyclopropane-fatty-acyl-phospholipid synthase, CFA synthase, Cyclopropane fatty acid synthase, EC 2.1.1.79	cfa cdfA b1661 JW1653	Escherichia coli (strain K12)	382
P0A9H9	reviewed	CHEZ_ECOLI	Protein phosphatase CheZ, EC 3.1.3.- (Chemotaxis protein CheZ)	cheZ b1881 JW1870	Escherichia coli (strain K12)	214
P0A9J0	reviewed	RNG_ECOLI	Ribonuclease G, RNase G, EC 3.1.26.- (Cytoplasmic axial filament protein, CafA protein)	rng cafA orfF yhdF b3247 JW3216	Escherichia coli (strain K12)	489
P0A9J4	reviewed	PANE_ECOLI	2-dehydropantoate 2-reductase, EC 1.1.1.169 (Ketopantoate reductase, KPA reductase, KPR)	panE apbA b0425 JW0415	Escherichia coli (strain K12)	303
P0A9J6	reviewed	RBSK_ECOLI	Ribokinase, RK, EC 2.7.1.15	rbsK b3752 JW3731	Escherichia coli (strain K12)	309
P0A9J8	reviewed	CMPDT_ECOLI	Bifunctional chorismate mutase/prephenate dehydratase (Chorismate mutase-prephenate dehydratase) (P-protein) [Includes: Chorismate mutase, CM, EC 5.4.99.5; Prephenate dehydratase, PDT, EC 4.2.1.51 ]	pheA b2599 JW2580	Escherichia coli (strain K12)	386
P0A9K7	reviewed	PHOU_ECOLI	Phosphate-specific transport system accessory protein PhoU, Pst system accessory protein PhoU (Negative regulator of Pho regulon)	phoU nmpA b3724 JW3702	Escherichia coli (strain K12)	241
P0A9K9	reviewed	SLYD_ECOLI	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD, PPIase, EC 5.2.1.8 (Histidine-rich protein) (Metallochaperone SlyD) (Rotamase) (Sensitivity to lysis protein D) (WHP)	slyD b3349 JW3311	Escherichia coli (strain K12)	196
P0A9L3	reviewed	FKBB_ECOLI	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase, FKBP22, PPIase, EC 5.2.1.8 (Rotamase)	fklB ytfC b4207 JW5746	Escherichia coli (strain K12)	206
P0A9M0	reviewed	LON_ECOLI	Lon protease, EC 3.4.21.53 (ATP-dependent protease La)	lon capR deg lopA muc b0439 JW0429	Escherichia coli (strain K12)	784
P0A9M2	reviewed	HPRT_ECOLI	Hypoxanthine phosphoribosyltransferase, HPRT, EC 2.4.2.8 (6-oxopurine phosphoribosyltransferase, 6-oxopurine PRTase)	hpt b0125 JW5009	Escherichia coli (strain K12)	178
P0A9M5	reviewed	XGPT_ECOLI	Xanthine-guanine phosphoribosyltransferase, XGPRT, EC 2.4.2.-, EC 2.4.2.22 (Xanthine phosphoribosyltransferase)	gpt gpp gxu b0238 JW0228	Escherichia coli (strain K12)	152
P0A9M8	reviewed	PTA_ECOLI	Phosphate acetyltransferase, EC 2.3.1.8 (Phosphotransacetylase)	pta b2297 JW2294	Escherichia coli (strain K12)	714
P0A9N4	reviewed	PFLA_ECOLI	Pyruvate formate-lyase 1-activating enzyme, EC 1.97.1.4 (Formate-C-acetyltransferase-activating enzyme 1) (PFL-activating enzyme 1)	pflA act b0902 JW0885	Escherichia coli (strain K12)	246
P0A9N8	reviewed	NRDG_ECOLI	Anaerobic ribonucleoside-triphosphate reductase-activating protein, EC 1.97.1.- (Class III anaerobic ribonucleotide reductase small component)	nrdG yjgE b4237 JW4196	Escherichia coli (strain K12)	154
P0A9P0	reviewed	DLDH_ECOLI	Dihydrolipoyl dehydrogenase, EC 1.8.1.4 (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	lpdA lpd b0116 JW0112	Escherichia coli (strain K12)	474
P0A9P4	reviewed	TRXB_ECOLI	Thioredoxin reductase, TRXR, EC 1.8.1.9	trxB b0888 JW0871	Escherichia coli (strain K12)	321
P0A9P6	reviewed	DEAD_ECOLI	ATP-dependent RNA helicase DeaD, EC 3.6.4.13 (Cold-shock DEAD box protein A) (Translation factor W2)	deaD csdA mssB rhlD b3162 JW5531	Escherichia coli (strain K12)	629
P0A9Q1	reviewed	ARCA_ECOLI	Aerobic respiration control protein ArcA (Dye resistance protein)	arcA cpxC dye fexA msp seg sfrA b4401 JW4364	Escherichia coli (strain K12)	238
P0A9Q5	reviewed	ACCD_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, ACCase subunit beta, Acetyl-CoA carboxylase carboxyltransferase subunit beta, EC 2.1.3.15	accD dedB usg b2316 JW2313	Escherichia coli (strain K12)	304
P0A9Q7	reviewed	ADHE_ECOLI	Bifunctional aldehyde-alcohol dehydrogenase AdhE (Alcohol dehydrogenase E) [Includes: Acetaldehyde dehydrogenase [acetylating], ACDH, EC 1.2.1.10; Alcohol dehydrogenase, ADH, EC 1.1.1.1 ]	adhE ana b1241 JW1228	Escherichia coli (strain K12)	891
P0A9Q9	reviewed	DHAS_ECOLI	Aspartate-semialdehyde dehydrogenase, ASA dehydrogenase, ASADH, EC 1.2.1.11 (Aspartate-beta-semialdehyde dehydrogenase)	asd hom b3433 JW3396	Escherichia coli (strain K12)	367
P0A9R4	reviewed	FER_ECOLI	2Fe-2S ferredoxin	fdx b2525 JW2509	Escherichia coli (strain K12)	111
P0A9R7	reviewed	FTSE_ECOLI	Cell division ATP-binding protein FtsE	ftsE b3463 JW3428	Escherichia coli (strain K12)	222
P0A9S1	reviewed	FUCO_ECOLI	Lactaldehyde reductase, EC 1.1.1.77 (Propanediol oxidoreductase)	fucO b2799 JW2770	Escherichia coli (strain K12)	382
P0A9S5	reviewed	GLDA_ECOLI	Glycerol dehydrogenase, GDH, GLDH, EC 1.1.1.6	gldA b3945 JW5556	Escherichia coli (strain K12)	367
P0A9S7	reviewed	LIVG_ECOLI	High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G)	livG b3455 JW3420	Escherichia coli (strain K12)	255
P0A9T0	reviewed	SERA_ECOLI	D-3-phosphoglycerate dehydrogenase, PGDH, EC 1.1.1.95 (2-oxoglutarate reductase, EC 1.1.1.399)	serA b2913 JW2880	Escherichia coli (strain K12)	410
P0A9U1	reviewed	YBHF_ECOLI	Probable multidrug ABC transporter ATP-binding protein YbhF	ybhF b0794 JW5104	Escherichia coli (strain K12)	578
P0A9V1	reviewed	LPTB_ECOLI	Lipopolysaccharide export system ATP-binding protein LptB, EC 7.5.2.-	lptB yhbG b3201 JW3168	Escherichia coli (strain K12)	241
P0A9V8	reviewed	SQUU_ECOLI	3-sulfolactaldehyde reductase, SLA reductase, EC 1.1.1.373 (4-hydroxybutyrate dehydrogenase, EC 1.1.1.61) (Gamma-hydroxybutyrate dehydrogenase, GHBDH) (Succinic semialdehyde reductase, SSA reductase)	yihU b3882 JW3853	Escherichia coli (strain K12)	298
P0A9W3	reviewed	ETTA_ECOLI	Energy-dependent translational throttle protein EttA, EC 3.6.1.- (Translational regulatory factor EttA)	ettA yjjK b4391 JW4354	Escherichia coli (strain K12)	555
P0A9X1	reviewed	ZNUC_ECOLI	Zinc import ATP-binding protein ZnuC, EC 7.2.2.20	znuC yebM b1858 JW1847	Escherichia coli (strain K12)	251
P0A9X4	reviewed	MREB_ECOLI	Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB)	mreB envB rodY b3251 JW3220	Escherichia coli (strain K12)	347
P0A9X9	reviewed	CSPA_ECOLI	Cold shock protein CspA, CSP-A (7.4 kDa cold shock protein) (CS7.4)	cspA cspS b3556 JW3525	Escherichia coli (strain K12)	70
P0A9Z1	reviewed	GLNB_ECOLI	Nitrogen regulatory protein P-II 1	glnB b2553 JW2537	Escherichia coli (strain K12)	112
P0AA04	reviewed	PTHP_ECOLI	Phosphocarrier protein HPr (Histidine-containing protein)	ptsH hpr b2415 JW2408	Escherichia coli (strain K12)	85
P0AA10	reviewed	RL13_ECOLI	50S ribosomal protein L13 (Large ribosomal subunit protein uL13)	rplM b3231 JW3200	Escherichia coli (strain K12)	142
P0AA16	reviewed	OMPR_ECOLI	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	ompR kmt ompB b3405 JW3368	Escherichia coli (strain K12)	239
P0AA25	reviewed	THIO_ECOLI	Thioredoxin 1, Trx-1	trxA fipA tsnC b3781 JW5856	Escherichia coli (strain K12)	109
P0AA37	reviewed	RLUA_ECOLI	Dual-specificity RNA pseudouridine synthase RluA, EC 5.4.99.28, EC 5.4.99.29 (23S rRNA pseudouridine(746) synthase) (Ribosomal large subunit pseudouridine synthase A) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A) (tRNA pseudouridine(32) synthase)	rluA yabO b0058 JW0057	Escherichia coli (strain K12)	219
P0AA41	reviewed	TRUC_ECOLI	tRNA pseudouridine synthase C, EC 5.4.99.26 (tRNA pseudouridine(65) synthase) (tRNA pseudouridylate synthase C) (tRNA-uridine isomerase C)	truC yqcB b2791 JW2762	Escherichia coli (strain K12)	260
P0AA43	reviewed	RSUA_ECOLI	Ribosomal small subunit pseudouridine synthase A, EC 5.4.99.19 (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA yejD b2183 JW2171	Escherichia coli (strain K12)	231
P0AA47	reviewed	PLAP_ECOLI	Low-affinity putrescine importer PlaP (Putrescine low affinity permease)	plaP yeeF b2014 JW5330	Escherichia coli (strain K12)	452
P0AA84	reviewed	CLSB_ECOLI	Cardiolipin synthase B, CL synthase, EC 2.7.8.-	clsB ybhO b0789 JW0772	Escherichia coli (strain K12)	413
P0AA89	reviewed	DOSC_ECOLI	Diguanylate cyclase DosC, DGC, EC 2.7.7.65 (Direct oxygen-sensing cyclase)	dosC dgcO yddV b1490 JW5241	Escherichia coli (strain K12)	460
P0AA93	reviewed	YPDA_ECOLI	Sensor histidine kinase YpdA, EC 2.7.13.3	ypdA b2380 JW5388	Escherichia coli (strain K12)	565
P0AAB4	reviewed	UBID_ECOLI	3-octaprenyl-4-hydroxybenzoate carboxy-lyase, EC 4.1.1.98 (Polyprenyl p-hydroxybenzoate decarboxylase)	ubiD yigC yigY b3843 JW3819	Escherichia coli (strain K12)	497
P0AAC6	reviewed	YCCA_ECOLI	Modulator of FtsH protease YccA	yccA b0970 JW0953	Escherichia coli (strain K12)	219
P0AAC8	reviewed	ISCA_ECOLI	Iron-binding protein IscA (Iron-sulfur cluster assembly protein)	iscA yfhF b2528 JW2512	Escherichia coli (strain K12)	107
P0AAD6	reviewed	SDAC_ECOLI	Serine transporter SdaC (H(+)/L-serine symporter) (L-serine transport system)	sdaC dcrA b2796 JW2767	Escherichia coli (strain K12)	429
P0AAE0	reviewed	CYCA_ECOLI	D-serine/D-alanine/glycine transporter (Amino acid carrier CycA)	cycA dagA ytfD b4208 JW4166	Escherichia coli (strain K12)	470
P0AAE8	reviewed	CADB_ECOLI	Cadaverine/lysine antiporter	cadB b4132 JW4093	Escherichia coli (strain K12)	444
P0AAF1	reviewed	POTE_ECOLI	Putrescine transporter PotE (Putrescine-proton symporter / putrescine-ornithine antiporter)	potE b0692 JW0679	Escherichia coli (strain K12)	439
P0AAG0	reviewed	DPPD_ECOLI	Dipeptide transport ATP-binding protein DppD, EC 7.4.2.9	dppD b3541 JW3510	Escherichia coli (strain K12)	327
P0AAH0	reviewed	PSTB_ECOLI	Phosphate import ATP-binding protein PstB, EC 7.3.2.1 (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB phoT b3725 JW3703	Escherichia coli (strain K12)	257
P0AAH4	reviewed	SAPD_ECOLI	Putrescine export system ATP-binding protein SapD	sapD trkE b1291 JW1284	Escherichia coli (strain K12)	330
P0AAI3	reviewed	FTSH_ECOLI	ATP-dependent zinc metalloprotease FtsH, EC 3.4.24.- (Cell division protease FtsH)	ftsH hflB mrsC std tolZ b3178 JW3145	Escherichia coli (strain K12)	644
P0AAI5	reviewed	FABF_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 2, EC 2.3.1.179 (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II, KAS II)	fabF fabJ b1095 JW1081	Escherichia coli (strain K12)	413
P0AAJ3	reviewed	FDNH_ECOLI	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta, FDH-N subunit beta)	fdnH b1475 JW1471	Escherichia coli (strain K12)	294
P0AAJ5	reviewed	FDOH_ECOLI	Formate dehydrogenase-O iron-sulfur subunit (Aerobic formate dehydrogenase iron-sulfur subunit) (FDH-Z subunit beta) (Formate dehydrogenase-O subunit beta)	fdoH b3893 JW3864	Escherichia coli (strain K12)	300
P0AAM1	reviewed	CYBH_ECOLI	Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit	hyaC b0974 JW0956	Escherichia coli (strain K12)	235
P0AAM3	reviewed	HYPC_ECOLI	Hydrogenase maturation factor HypC (Chaperone-type protein HypC) (Hydrogenase accessory chaperone HypC)	hypC b2728 JW2698	Escherichia coli (strain K12)	90
P0AAN3	reviewed	HYPB_ECOLI	Hydrogenase maturation factor HypB (Hydrogenase isoenzymes nickel incorporation protein HypB)	hypB b2727 JW2697	Escherichia coli (strain K12)	290
P0AAR3	reviewed	YBAK_ECOLI	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK, EC 4.2.-.-	ybaK b0481 JW0470	Escherichia coli (strain K12)	159
P0AAW9	reviewed	ACRZ_ECOLI	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ ybhT b0762 JW5102	Escherichia coli (strain K12)	49
P0AAX8	reviewed	YBIS_ECOLI	Probable L,D-transpeptidase YbiS, EC 2.-.-.-	ybiS b0819 JW0803	Escherichia coli (strain K12)	306
P0AAZ4	reviewed	RARA_ECOLI	Replication-associated recombination protein A	rarA mgsA ycaJ b0892 JW0875	Escherichia coli (strain K12)	447
P0AB38	reviewed	LPOB_ECOLI	Penicillin-binding protein activator LpoB, PBP activator LpoB (Lipoprotein activator of PBP from the outer membrane B)	lpoB ycfM b1105 JW5157	Escherichia coli (strain K12)	213
P0AB58	reviewed	LAPB_ECOLI	Lipopolysaccharide assembly protein B (Lipopolysaccharide regulatory protein)	lapB yciM b1280 JW1272	Escherichia coli (strain K12)	389
P0AB67	reviewed	PNTB_ECOLI	NAD(P) transhydrogenase subunit beta, EC 7.1.1.1 (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB b1602 JW1594	Escherichia coli (strain K12)	462
P0AB71	reviewed	ALF_ECOLI	Fructose-bisphosphate aldolase class 2, FBP aldolase, FBPA, EC 4.1.2.13 (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	fbaA fba fda b2925 JW2892	Escherichia coli (strain K12)	359
P0AB74	reviewed	KBAY_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit KbaY, TBPA, TagBP aldolase, EC 4.1.2.40 (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	kbaY agaY kba yraC b3137 JW3106	Escherichia coli (strain K12)	286
P0AB77	reviewed	KBL_ECOLI	2-amino-3-ketobutyrate coenzyme A ligase, AKB ligase, EC 2.3.1.29 (Glycine acetyltransferase)	kbl b3617 JW3592	Escherichia coli (strain K12)	398
P0AB80	reviewed	ILVE_ECOLI	Branched-chain-amino-acid aminotransferase, BCAT, EC 2.6.1.42 (Transaminase B)	ilvE b3770 JW5606	Escherichia coli (strain K12)	309
P0AB83	reviewed	END3_ECOLI	Endonuclease III, EC 4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase)	nth b1633 JW1625	Escherichia coli (strain K12)	211
P0AB85	reviewed	APBE_ECOLI	FAD:protein FMN transferase, EC 2.7.1.180 (Flavin transferase)	apbE yojK yojL b2214 JW5368	Escherichia coli (strain K12)	351
P0AB87	reviewed	FUCA_ECOLI	L-fuculose phosphate aldolase, EC 4.1.2.17 (D-ribulose-phosphate aldolase) (L-fuculose-1-phosphate aldolase)	fucA fucC prd b2800 JW2771	Escherichia coli (strain K12)	215
