(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
ferric citrate ABC transporter	ABC-9-CPLX		ATP + iron(III) dicitrate[periplasm] + H2O  ->  ADP + iron(III) dicitrate[cytosol] + phosphate + H+	ATP + iron(III) dicitrate[periplasm] + H2O  ->  ADP + iron(III) dicitrate[cytosol] + phosphate + H+
ferric citrate outer membrane transport complex	CPLX0-1943		iron(III) dicitrate[extracellular space] + H+[periplasm]  ->  iron(III) dicitrate[periplasm] + H+[cytosol]	iron(III) dicitrate[extracellular space] + H+[periplasm]  ->  iron(III) dicitrate[periplasm] + H+[cytosol]
ferric coprogen outer membrane transport complex	CPLX0-7952		iron(III)-coprogen[extracellular space] + H+[periplasm]  ->  iron(III)-coprogen[periplasm] + H+[cytosol]	iron(III)-coprogen[extracellular space] + H+[periplasm]  ->  iron(III)-coprogen[periplasm] + H+[cytosol]
ferric enterobactin ABC transporter	ABC-10-CPLX	ferric-enterobactin transmembrane transporter activity	ATP + iron(III)-enterobactin complex[periplasm] + H2O  ->  ADP + iron(III)-enterobactin complex[cytosol] + phosphate + H+	ATP + iron(III)-enterobactin complex[periplasm] + H2O  ->  ADP + iron(III)-enterobactin complex[cytosol] + phosphate + H+
ferric enterobactin outer membrane transport complex	CPLX0-1941		iron(III)-enterobactin complex[extracellular space] + H+[periplasm]  ->  iron(III)-enterobactin complex[periplasm] + H+[cytosol]	iron(III)-enterobactin complex[extracellular space] + H+[periplasm]  ->  iron(III)-enterobactin complex[periplasm] + H+[cytosol]
ferrichrome outer membrane transport complex	CPLX0-1942		ferrichrome[extracellular space] + H+[periplasm]  ->  ferrichrome[periplasm] + H+[cytosol]	ferrichrome[extracellular space] + H+[periplasm]  ->  ferrichrome[periplasm] + H+[cytosol]
FMN/FAD exporter	YEEO-MONOMER	xenobiotic transmembrane transporter activity // antiporter activity // dipeptide transmembrane transporter activity // FMN transmembrane transporter activity // FAD transmembrane transporter activity	FAD[cytosol]  ->  FAD[periplasm] // FMN[cytosol]  ->  FMN[periplasm]	FAD[cytosol]  ->  FAD[periplasm] // FMN[cytosol]  ->  FMN[periplasm]
formate channel FocA	CPLX0-7843		formate[cytosol]  <-->  formate[periplasm] // phosphinate[cytosol]  <-->  phosphinate[periplasm]	formate[cytosol]  <-->  formate[periplasm] // phosphinate[cytosol]  <-->  phosphinate[periplasm]
formate channel FocB	FOCB-MONOMER	formate transmembrane transporter activity // transmembrane transporter activity	formate[cytosol]  <-->  formate[periplasm]	formate[cytosol]  <-->  formate[periplasm]
formate dehydrogenase N, subcomplex	FORMATEDEHYDROGN-CPLX	formate dehydrogenase (quinone) activity // electron transfer activity	formate dehydrogenase (menaquinone)	formate dehydrogenase (menaquinone)
formate dehydrogenase O	FORMATEDEHYDROGO-CPLX	molybdopterin cofactor binding // formate dehydrogenase (quinone) activity // selenium binding	formate dehydrogenase (menaquinone)	formate dehydrogenase (menaquinone)
fosmidomycin efflux pump	FSR-MONOMER	transmembrane transporter activity	fosmidomycin:proton antiport	fosmidomycin:proton antiport
fructose-specific PTS enzyme II	CPLX-158	protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity	D-fructose[periplasm] + PtsI-Phis189  ->  D-fructose 1-phosphate[cytosol] + PTS enzyme I // Transport of D-fructopyranose // D-fructofuranose[periplasm] + PtsI-Phis189  ->  D-fructofuranose 1-phosphate[cytosol] + PTS enzyme I	D-fructose[periplasm] + PtsI-Phis189  ->  D-fructose 1-phosphate[cytosol] + PTS enzyme I // Transport of D-fructopyranose // D-fructofuranose[periplasm] + PtsI-Phis189  ->  D-fructofuranose 1-phosphate[cytosol] + PTS enzyme I
fructoselysine/psicoselysine transporter	YHFM-MONOMER	transmembrane transporter activity // L-amino acid transmembrane transporter activity	N6-(D-psicosyl)-L-lysine[periplasm]  ->  N6-(D-psicosyl)-L-lysine[cytosol] // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol]	N6-(D-psicosyl)-L-lysine[periplasm]  ->  N6-(D-psicosyl)-L-lysine[cytosol] // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol]
fructuronate transporter	GNTP-MONOMER	carbohydrate:proton symporter activity // gluconate transmembrane transporter activity	fructuronate:proton symport // D-gluconate:proton symport	fructuronate:proton symport // D-gluconate:proton symport
galactarate/D-glucarate transporter GarP	YHAU-MONOMER	transmembrane transporter activity // anion:cation symporter activity	D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport	D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport
galactarate/D-glucarate transporter GudP	B2789-MONOMER	transmembrane transporter activity // anion:cation symporter activity	D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport	D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport
galactitol-specific PTS enzyme II	CPLX0-231	protein-phosphocysteine-galactitol-phosphotransferase system transporter activity // protein-phosphocysteine-D-sorbitol-phosphotransferase system transporter activity	an [HPr protein]-Npi-phospho-L-histidine + galactitol[periplasm]  ->  galactitol 1-phosphate[cytosol] + an [HPr]-L-histidine // HPr-Phis15 + D-sorbitol[periplasm]  ->  D-sorbitol 6-phosphate[cytosol] + phosphocarrier protein HPr	an [HPr protein]-Npi-phospho-L-histidine + galactitol[periplasm]  ->  galactitol 1-phosphate[cytosol] + an [HPr]-L-histidine // HPr-Phis15 + D-sorbitol[periplasm]  ->  D-sorbitol 6-phosphate[cytosol] + phosphocarrier protein HPr
galactofuranose ABC transporter	ABC-46-CPLX	primary active transmembrane transporter activity	beta-D-galactofuranose[periplasm] + ATP + H2O  ->  beta-D-galactofuranose[cytosol] + ADP + phosphate + H+ // alpha-D-galactofuranose[periplasm] + ATP + H2O  ->  alpha-D-galactofuranose[cytosol] + ADP + phosphate + H+	beta-D-galactofuranose[periplasm] + ATP + H2O  ->  beta-D-galactofuranose[cytosol] + ADP + phosphate + H+ // alpha-D-galactofuranose[periplasm] + ATP + H2O  ->  alpha-D-galactofuranose[cytosol] + ADP + phosphate + H+
galactonate:H+ symporter	YJIZ-MONOMER	transmembrane transporter activity	L-galactonate:proton symport	L-galactonate:proton symport
galactose:H<sup>+</sup> symporter	GALP-MONOMER	transmembrane transporter activity // symporter activity // galactose:proton symporter activity	galactose:proton symport // D-glucose:proton symport	galactose:proton symport // D-glucose:proton symport
glucose-specific PTS enzyme II	CPLX-157	protein-phosphocysteine-glucose phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-glucose phosphotransferase system transporter activity	transport of &beta;-D-glucose by PTS // methyl alpha-D-glucoside[periplasm] + HPr-Phis15  ->  phosphocarrier protein HPr + methyl alpha-D-glucoside 6-phosphate[cytosol]	transport of &beta;-D-glucose by PTS // methyl alpha-D-glucoside[periplasm] + HPr-Phis15  ->  phosphocarrier protein HPr + methyl alpha-D-glucoside 6-phosphate[cytosol]
glucuronide:H<sup>+</sup> symporter	UIDB-MONOMER	transmembrane transporter activity // symporter activity	glucoronoside:proton symport	glucoronoside:proton symport
glutamate / aspartate ABC transporter	ABC-13-CPLX		ATP + L-aspartate[periplasm] + H2O  ->  L-aspartate[cytosol] + ADP + phosphate + H+ // ATP + L-glutamate[periplasm] + H2O  ->  ADP + L-glutamate[cytosol] + phosphate + H+	ATP + L-aspartate[periplasm] + H2O  ->  L-aspartate[cytosol] + ADP + phosphate + H+ // ATP + L-glutamate[periplasm] + H2O  ->  ADP + L-glutamate[cytosol] + phosphate + H+
glutamate/aspartate : H<sup>+</sup> symporter GltP	GLTP-MONOMER	transmembrane transporter activity // amino acid:proton symporter activity // symporter activity	aspartate:proton symport // L-glutamate:proton symport	aspartate:proton symport // L-glutamate:proton symport
glutamate:sodium symporter	GLTS-MONOMER	glutamate:sodium symporter activity // symporter activity	glutamate:Na<sup>+</sup> symport	glutamate:Na<sup>+</sup> symport
glutathione / L-cysteine ABC exporter CydDC	ABC-6-CPLX	ATP hydrolysis activity // heme binding // glutathione transmembrane transporter activity // ABC-type cysteine transporter activity	glutathione[cytosol] + ATP + H2O  ->  glutathione[periplasm] + ADP + phosphate + H+ // L-cysteine[cytosol] + ATP + H2O  ->  L-cysteine[periplasm] + ADP + phosphate + H+	glutathione[cytosol] + ATP + H2O  ->  glutathione[periplasm] + ADP + phosphate + H+ // L-cysteine[cytosol] + ATP + H2O  ->  L-cysteine[periplasm] + ADP + phosphate + H+
glutathione ABC transporter	ABC-49-CPLX	ATPase-coupled transmembrane transporter activity // glutathione transmembrane transporter activity	glutathione[periplasm] + ATP + H2O  ->  glutathione[cytosol] + ADP + phosphate + H+	glutathione[periplasm] + ATP + H2O  ->  glutathione[cytosol] + ADP + phosphate + H+
glycerol facilitator	CPLX0-7654		glycerol[periplasm]  <-->  glycerol[cytosol] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[cytosol] // DL-glyceraldehyde[periplasm]  <-->  DL-glyceraldehyde[cytosol] // glycine[periplasm]  <-->  glycine[cytosol] // urea[cytosol]  <-->  urea[periplasm] // arsenous acid[periplasm]  ->  arsenous acid[cytosol] // antimonous acid[periplasm]  <-->  antimonous acid[cytosol]	glycerol[periplasm]  <-->  glycerol[cytosol] // a sugar alcohol[periplasm]  <-->  a sugar alcohol[cytosol] // DL-glyceraldehyde[periplasm]  <-->  DL-glyceraldehyde[cytosol] // glycine[periplasm]  <-->  glycine[cytosol] // urea[cytosol]  <-->  urea[periplasm] // arsenous acid[periplasm]  ->  arsenous acid[cytosol] // antimonous acid[periplasm]  <-->  antimonous acid[cytosol]
glycine betaine ABC transporter	ABC-26-CPLX	ABC-type glycine betaine transporter activity	glycine betaine[periplasm] + ATP + H2O  ->  glycine betaine[cytosol] + ADP + phosphate + H+ // L-proline betaine[periplasm] + ATP + H2O  ->  L-proline betaine[cytosol] + ADP + phosphate + H+ // a quaternary ammonium compound[periplasm] + ATP + H2O  ->  a quaternary ammonium compound[cytosol] + ADP + phosphate + H+ // ATP + L-proline[periplasm] + H2O  ->  ADP + L-proline[cytosol] + phosphate + H+	glycine betaine[periplasm] + ATP + H2O  ->  glycine betaine[cytosol] + ADP + phosphate + H+ // L-proline betaine[periplasm] + ATP + H2O  ->  L-proline betaine[cytosol] + ADP + phosphate + H+ // a quaternary ammonium compound[periplasm] + ATP + H2O  ->  a quaternary ammonium compound[cytosol] + ADP + phosphate + H+ // ATP + L-proline[periplasm] + H2O  ->  ADP + L-proline[cytosol] + phosphate + H+
glycine betaine ABC transporter, non-osmoregulatory	ABC-40-CPLX	ABC-type glycine betaine transporter activity	glycine betaine[periplasm] + ATP + H2O  ->  glycine betaine[cytosol] + ADP + phosphate + H+	glycine betaine[periplasm] + ATP + H2O  ->  glycine betaine[cytosol] + ADP + phosphate + H+
glycolate/lactate:H<sup>+</sup> symporter GlcA	B2975-MONOMER	solute:proton symporter activity // glycolate transmembrane transporter activity // lactate transmembrane transporter activity	glycolate:proton symport // lactate:proton symport // lactate:proton symport // hydroxybutanoate:proton symport	glycolate:proton symport // lactate:proton symport // lactate:proton symport // hydroxybutanoate:proton symport
guanidinium exporter	CPLX0-8263		guanidinium:proton antiport // cetylpyridinium:H<sup>+</sup> antiport	guanidinium:proton antiport // cetylpyridinium:H<sup>+</sup> antiport
guanine/hypoxanthine transporter GhxP	EG11939-MONOMER	transmembrane transporter activity // guanine transmembrane transporter activity // purine nucleobase transmembrane transporter activity	hypoxanthine[cytosol] + H+[cytosol]  <-  hypoxanthine[periplasm] + H+[periplasm] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]	hypoxanthine[cytosol] + H+[cytosol]  <-  hypoxanthine[periplasm] + H+[periplasm] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]
guanine/hypoxanthine transporter GhxQ	G7504-MONOMER	transmembrane transporter activity // purine nucleobase transmembrane transporter activity // guanine transmembrane transporter activity	hypoxanthine[cytosol] + H+[cytosol]  <-  hypoxanthine[periplasm] + H+[periplasm] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]	hypoxanthine[cytosol] + H+[cytosol]  <-  hypoxanthine[periplasm] + H+[periplasm] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]
heavy metal divalent cation transporter ZupT	EG11167-MONOMER	zinc ion transmembrane transporter activity // metal ion transmembrane transporter activity // cadmium ion transmembrane transporter activity // ferrous iron transmembrane transporter activity // copper ion transmembrane transporter activity // cobalt ion transmembrane transporter activity // manganese ion transmembrane transporter activity	Mn2+[periplasm]  ->  Mn2+[cytosol] // Cu2+[periplasm]  ->  Cu2+[cytosol] // Zn2+[periplasm]  ->  Zn2+[cytosol] // Cd2+[periplasm]  ->  Cd2+[cytosol] // Fe2+[periplasm]  ->  Fe2+[cytosol] // Co2+[periplasm]  ->  Co2+[cytosol]	Mn2+[periplasm]  ->  Mn2+[cytosol] // Cu2+[periplasm]  ->  Cu2+[cytosol] // Zn2+[periplasm]  ->  Zn2+[cytosol] // Cd2+[periplasm]  ->  Cd2+[cytosol] // Fe2+[periplasm]  ->  Fe2+[cytosol] // Co2+[periplasm]  ->  Co2+[cytosol]
hexose-6-phosphate:phosphate antiporter	UHPT-MONOMER	transmembrane transporter activity // hexose-phosphate:inorganic phosphate antiporter activity	glucose-6-phosphate:phosphate antiport // mannose-6-phosphate:phosphate antiport // fructose-6-phosphate:phosphate antiport // glyceraldehyde-3-phosphate:phosphate antiport	glucose-6-phosphate:phosphate antiport // mannose-6-phosphate:phosphate antiport // fructose-6-phosphate:phosphate antiport // glyceraldehyde-3-phosphate:phosphate antiport
hexuronate transporter	EXUT-MONOMER	transmembrane transporter activity // hexuronate transmembrane transporter activity	D-galacturonate:proton symport // D-glucuronate:proton symport	D-galacturonate:proton symport // D-glucuronate:proton symport
high-affinity gluconate transporter	GNTT-MONOMER	gluconate transmembrane transporter activity	D-gluconate:proton symport	D-gluconate:proton symport
histidine ABC transporter	ABC-14-CPLX	high-affinity L-histidine transmembrane transporter activity	ATP + L-histidine[periplasm] + H2O  ->  ADP + L-histidine[cytosol] + phosphate + H+	ATP + L-histidine[periplasm] + H2O  ->  ADP + L-histidine[cytosol] + phosphate + H+
hydrogenase 1, oxygen tolerant hydrogenase	CPLX0-8167	heme binding // hydrogenase (acceptor) activity // electron transfer activity // iron-sulfur cluster binding // nickel cation binding	hydrogen:menaquinone oxidoreductase // 2 H2 + dioxygen  ->  2 H2O	hydrogen:menaquinone oxidoreductase // 2 H2 + dioxygen  ->  2 H2O
hydrogenase 2	FORMHYDROG2-CPLX	hydrogenase (acceptor) activity // electron transfer activity // nickel cation binding // iron ion binding // hydrogen:quinone oxidoreductase activity	hydrogen:menaquinone oxidoreductase	hydrogen:menaquinone oxidoreductase
iron(III) hydroxamate ABC transporter	ABC-11-CPLX	siderophore uptake transmembrane transporter activity	ATP + a ferric hydroxamate complex[periplasm] + H2O  ->  ADP + a ferric hydroxamate complex[cytosol] + phosphate + H+ // iron(III)-coprogen[periplasm] + ATP + H2O  ->  iron(III)-coprogen[cytosol] + ADP + phosphate + H+ // ferrichrome[periplasm] + ATP + H2O  ->  ferrichrome[cytosol] + ADP + phosphate + H+	ATP + a ferric hydroxamate complex[periplasm] + H2O  ->  ADP + a ferric hydroxamate complex[cytosol] + phosphate + H+ // iron(III)-coprogen[periplasm] + ATP + H2O  ->  iron(III)-coprogen[cytosol] + ADP + phosphate + H+ // ferrichrome[periplasm] + ATP + H2O  ->  ferrichrome[cytosol] + ADP + phosphate + H+
iron-catecholate outer membrane transport complex I	CPLX0-8541		iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine trimer] complex[extracellular space] + H+[periplasm]  ->  iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine trimer] complex[periplasm] + H+[cytosol]	iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine trimer] complex[extracellular space] + H+[periplasm]  ->  iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine trimer] complex[periplasm] + H+[cytosol]
K+ : H+ antiporter KefB	KEFB-MONOMER	glutathione-regulated potassium exporter activity // solute:proton antiporter activity // cation transmembrane transporter activity // antiporter activity	potassium:proton antiport	potassium:proton antiport
K+ : H+ antiporter KefC	CPLX0-7819		potassium:proton antiport	potassium:proton antiport
K+ transporter TrkH	TRKH-MONOMER	potassium:chloride symporter activity // metal ion binding // cation transmembrane transporter activity // potassium ion binding // potassium channel activity // potassium ion transmembrane transporter activity	K<sup>+</sup>:proton symport	K<sup>+</sup>:proton symport
K<sup>+</sup> transporting P-type ATPase	ATPASE-1-CPLX		K+[periplasm] + ATP + H2O  ->  K+[cytosol] + ADP + phosphate + H+	K+[periplasm] + ATP + H2O  ->  K+[cytosol] + ADP + phosphate + H+
K<sup>+</sup>:H<sup>+</sup> symporter Kup	KUP-MONOMER	symporter activity // potassium:proton symporter activity // potassium ion transmembrane transporter activity	K<sup>+</sup>:proton symport	K<sup>+</sup>:proton symport
L-alanine exporter	G7399-MONOMER	solute:proton antiporter activity // L-amino acid efflux transmembrane transporter activity	alanine:proton antiport	alanine:proton antiport
L-arabinose exporter	YDEA-MONOMER	transmembrane transporter activity // carbohydrate transmembrane transporter activity	L-arabinose:proton antiport	L-arabinose:proton antiport
L-arginine ABC transporter	ABC-4-CPLX		ATP + L-arginine[periplasm] + H2O  ->  ADP + L-arginine[cytosol] + phosphate + H+	ATP + L-arginine[periplasm] + H2O  ->  ADP + L-arginine[cytosol] + phosphate + H+
L-arginine exporter	YGGA-MONOMER	amino acid transmembrane transporter activity // arginine transmembrane transporter activity	L-arginine[periplasm]  <-  L-arginine[cytosol] // L-canavanine[cytosol]  ->  L-canavanine[periplasm]	L-arginine[periplasm]  <-  L-arginine[cytosol] // L-canavanine[cytosol]  ->  L-canavanine[periplasm]
L-ascorbate specific PTS enzyme II	EIISGA	protein-phosphocysteine-sugar phosphotransferase activity	HPr-Phis15 + L-ascorbate[periplasm]  ->  L-ascorbate 6-phosphate[cytosol] + phosphocarrier protein HPr	HPr-Phis15 + L-ascorbate[periplasm]  ->  L-ascorbate 6-phosphate[cytosol] + phosphocarrier protein HPr
L-asparagine transporter	ANSP-MONOMER		asparagine:proton symport	asparagine:proton symport
L-carnitine:gamma-butyrobetaine antiporter	CPLX0-7906		L-carnitine:&gamma;-butyrobetaine antiport	L-carnitine:&gamma;-butyrobetaine antiport
L-fucose:H+ symporter	FUCP-MONOMER	transmembrane transporter activity // symporter activity // fucose transmembrane transporter activity // arabinose:proton symporter activity // galactose:proton symporter activity // fucose:proton symporter activity // hexose:proton symporter activity	L-fucose:proton symport // D-arabinose:proton symport // L-galactose:proton symport	L-fucose:proton symport // D-arabinose:proton symport // L-galactose:proton symport
L-glutamate:4-aminobutyrate antiporter	XASA-MONOMER	transmembrane transporter activity // antiporter activity	L-glutamate:4-aminobutanoate antiport	L-glutamate:4-aminobutanoate antiport
L-glutamine ABC transporter	ABC-12-CPLX	L-glutamine transmembrane transporter activity	ATP + L-glutamine[periplasm] + H2O  ->  ADP + L-glutamine[cytosol] + phosphate + H+	ATP + L-glutamine[periplasm] + H2O  ->  ADP + L-glutamine[cytosol] + phosphate + H+
L-homoserine/L-homoserine lactone/L-threonine exporter	RHTB-MONOMER	amino acid transmembrane transporter activity // secondary active transmembrane transporter activity // threonine efflux transmembrane transporter activity // homoserine transmembrane transporter activity	L-homoserine:proton antiport // L-homoserine lactone:proton antiport // L-threonine:proton antiport	L-homoserine:proton antiport // L-homoserine lactone:proton antiport // L-threonine:proton antiport
L-idonate/5-ketogluconate/gluconate transporter	YJGT-MONOMER	L-idonate transmembrane transporter activity // gluconate transmembrane transporter activity	5-ketogluconate:proton symport // D-gluconate:proton symport // L-iodonate:proton symport	5-ketogluconate:proton symport // D-gluconate:proton symport // L-iodonate:proton symport
L-lysine exporter	G6458-MONOMER	L-lysine efflux transmembrane transporter activity	L-lysine[cytosol]  ->  L-lysine[periplasm]	L-lysine[cytosol]  ->  L-lysine[periplasm]
L-methionine/branched chain amino acid exporter	B4141-MONOMER	transmembrane transporter activity // L-methionine secondary active transmembrane transporter activity // neutral L-amino acid secondary active transmembrane transporter activity // L-amino acid transmembrane transporter activity	L-methionine:proton antiport // L-valine:proton antiport // L-isoleucine:proton antiport // L-leucine:proton antiport	L-methionine:proton antiport // L-valine:proton antiport // L-isoleucine:proton antiport // L-leucine:proton antiport
L-methionine/D-methionine ABC transporter	METNIQ-METHIONINE-ABC-CPLX	ABC-type D-methionine transporter activity // L-methionine transmembrane transporter activity	ATP + L-methionine[periplasm] + H2O  ->  ADP + L-methionine[cytosol] + phosphate + H+ // ATP + D-methionine[periplasm] + H2O  ->  ADP + D-methionine[cytosol] + phosphate + H+ // L-methionine-(R)-S-oxide[periplasm] + ATP + H2O  ->  L-methionine-(R)-S-oxide[cytosol] + ADP + phosphate + H+ // L-methionine-(S)-S-oxide[periplasm] + ATP + H2O  ->  L-methionine-(S)-S-oxide[cytosol] + ADP + phosphate + H+ // L-methionine S-oxide[periplasm] + ATP + H2O  ->  L-methionine S-oxide[cytosol] + ADP + phosphate + H+ // N-acetyl-DL-methionine[periplasm] + ATP + H2O  ->  N-acetyl-DL-methionine[cytosol] + ADP + phosphate + H+ // D-selenomethionine[periplasm] + ATP + H2O  ->  D-selenomethionine[cytosol] + ADP + phosphate + H+	ATP + L-methionine[periplasm] + H2O  ->  ADP + L-methionine[cytosol] + phosphate + H+ // ATP + D-methionine[periplasm] + H2O  ->  ADP + D-methionine[cytosol] + phosphate + H+ // L-methionine-(R)-S-oxide[periplasm] + ATP + H2O  ->  L-methionine-(R)-S-oxide[cytosol] + ADP + phosphate + H+ // L-methionine-(S)-S-oxide[periplasm] + ATP + H2O  ->  L-methionine-(S)-S-oxide[cytosol] + ADP + phosphate + H+ // L-methionine S-oxide[periplasm] + ATP + H2O  ->  L-methionine S-oxide[cytosol] + ADP + phosphate + H+ // N-acetyl-DL-methionine[periplasm] + ATP + H2O  ->  N-acetyl-DL-methionine[cytosol] + ADP + phosphate + H+ // D-selenomethionine[periplasm] + ATP + H2O  ->  D-selenomethionine[cytosol] + ADP + phosphate + H+
L-serine:H+ symporter SdaC	SDAC-MONOMER	amino acid transmembrane transporter activity // L-serine transmembrane transporter activity	L-serine:proton symport	L-serine:proton symport
L-tartrate:succinate antiporter	YGJE-MONOMER	transmembrane transporter activity // antiporter activity	L-tartrate:succinate antiport	L-tartrate:succinate antiport
L-threonine exporter	RHTC-MONOMER	amino acid transmembrane transporter activity // secondary active transmembrane transporter activity // threonine efflux transmembrane transporter activity	L-threonine:proton antiport	L-threonine:proton antiport
L-threonine/L-homoserine exporter	EG12134-MONOMER	homoserine transmembrane transporter activity // secondary active transmembrane transporter activity // threonine efflux transmembrane transporter activity	L-homoserine:proton antiport // L-threonine:proton antiport	L-homoserine:proton antiport // L-threonine:proton antiport
L-valine exporter	CPLX0-7684		L-valine[cytosol]  <-->  L-valine[periplasm]	L-valine[cytosol]  <-->  L-valine[periplasm]
lactate/glycolate:H<sup>+</sup> symporter LldP	LCTP-MONOMER	solute:proton symporter activity // glycolate transmembrane transporter activity // lactate transmembrane transporter activity	lactate:proton symport // lactate:proton symport // glycolate:proton symport // hydroxybutanoate:proton symport	lactate:proton symport // lactate:proton symport // glycolate:proton symport // hydroxybutanoate:proton symport
lactose permease	LACY-MONOMER	transmembrane transporter activity // symporter activity // lactose binding // carbohydrate:proton symporter activity // protein binding // lactose:proton symporter activity	lactose:proton symport // melibiose:proton symport // lactulose:proton symport // 3-O-&beta;-D-galactopyranosyl-D-arabinose:proton symport // melibionate:proton symport	lactose:proton symport // melibiose:proton symport // lactulose:proton symport // 3-O-&beta;-D-galactopyranosyl-D-arabinose:proton symport // melibionate:proton symport
large conductance mechanosensitive channel	CPLX0-7627		non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]	non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]
leucine / L-phenylalanine ABC transporter	ABC-304-CPLX		ATP + L-leucine[periplasm] + H2O  ->  ADP + L-leucine[cytosol] + phosphate + H+ // L-phenylalanine[periplasm] + ATP + H2O  ->  L-phenylalanine[cytosol] + ADP + phosphate + H+	ATP + L-leucine[periplasm] + H2O  ->  ADP + L-leucine[cytosol] + phosphate + H+ // L-phenylalanine[periplasm] + ATP + H2O  ->  L-phenylalanine[cytosol] + ADP + phosphate + H+
leucine exporter	G6984-MONOMER	amino acid transmembrane transporter activity // L-leucine transmembrane transporter activity	L-leucine:proton antiport // L-methionine:proton antiport	L-leucine:proton antiport // L-methionine:proton antiport
lipid II flippase MurJ	G6561-MONOMER	cardiolipin binding // lipid-linked peptidoglycan transporter activity	lipid II flippase	lipid II flippase
lipid III<sub>ECA</sub> flippase	EG11486-MONOMER	intramembrane lipid transporter activity	alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[cytosol] + H+[periplasm]  ->  alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[periplasm] + H+[cytosol]	alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[cytosol] + H+[periplasm]  ->  alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[periplasm] + H+[cytosol]
lipopolysaccharide transport system	CPLX0-7992		a lipopolysaccharide[periplasm] + ATP + H2O  ->  a lipopolysaccharide[extracellular space] + ADP + phosphate + H+	a lipopolysaccharide[periplasm] + ATP + H2O  ->  a lipopolysaccharide[extracellular space] + ADP + phosphate + H+
lipoprotein release complex	ABC-62-CPLX		an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein][inner membrane] + a LolA lipoprotein chaperone + ATP + H2O  ->  a LolA-lipoprotein complex[periplasm] + ADP + phosphate + H+	an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein][inner membrane] + a LolA lipoprotein chaperone + ATP + H2O  ->  a LolA-lipoprotein complex[periplasm] + ADP + phosphate + H+
long-chain fatty acid outer membrane channel / bacteriophage T2 receptor	EG10280-MONOMER	ligand-gated channel activity // long-chain fatty acid transporting porin activity	a long-chain fatty acid[extracellular space]  ->  a long-chain fatty acid[periplasm]	a long-chain fatty acid[extracellular space]  ->  a long-chain fatty acid[periplasm]
