Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
fosfomycin:proton antiport // deoxycholate:proton antiport	efflux pump MdtG	mdtG	fosfomycin:proton antiport // deoxycholate:proton antiport	REVERSIBLE	transmembrane transporter activity // solute:proton antiporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // response to antibiotic // xenobiotic detoxification by transmembrane export across the plasma membrane // response to paraquat
1-(beta-D ribofuranosyl)nicotinamide[periplasm]  ->  1-(beta-D ribofuranosyl)nicotinamide[cytosol]	nicotinamide riboside transporter	pnuC	1-(beta-D ribofuranosyl)nicotinamide[periplasm]  ->  1-(beta-D ribofuranosyl)nicotinamide[cytosol]	LEFT-TO-RIGHT	nicotinamide riboside transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	nicotinamide riboside transport
L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine	cystine exporter	yijE	L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT	sulfur amino acid transmembrane transporter activity // transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	amino acid transmembrane transport // sulfur amino acid transport // transmembrane transport
a LolA-lipoprotein complex[periplasm]  ->  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein][outer membrane] + a LolA lipoprotein chaperone	outer membrane lipoprotein LolB	lolB	a LolA-lipoprotein complex[periplasm]  ->  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein][outer membrane] + a LolA lipoprotein chaperone	PHYSIOL-LEFT-TO-RIGHT	protein binding	cell outer membrane // membrane // anchored component of periplasmic side of cell outer membrane // outer membrane-bounded periplasmic space	protein transport // lipoprotein localization to outer membrane // lipoprotein metabolic process
lactose:proton antiport	sugar exporter SetB	setB	lactose:proton antiport	REVERSIBLE	transmembrane transporter activity // carbohydrate:proton symporter activity	integral component of membrane // membrane // plasma membrane	glucose transmembrane transport // proton transmembrane transport // cellular response to glucose-phosphate stress // carbohydrate transport // transmembrane transport // lactose transport // chromosome segregation // carbohydrate transmembrane transport
formate[cytosol]  <-->  formate[periplasm]	formate channel FocB	focB	formate[cytosol]  <-->  formate[periplasm]	REVERSIBLE	formate transmembrane transporter activity // transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // mixed acid fermentation // formate transport
lysine:cadaverine antiport // cadaverine:proton symport	lysine:cadaverine antiporter	cadB	lysine:cadaverine antiport // cadaverine:proton symport	REVERSIBLE	transmembrane transporter activity // antiporter activity // solute:proton symporter activity // lysine:cadaverine antiporter activity	integral component of membrane // integral component of plasma membrane // plasma membrane // membrane	transmembrane transport // proton transmembrane transport // amino acid transport // cellular stress response to acidic pH // L-lysine transmembrane transport // cadaverine transport
succinate:proton symport // fumarate:succinate antiport // fumarate:proton symport	anaerobic C4-dicarboxylate transporter DcuC	dcuC	succinate:proton symport // fumarate:succinate antiport // fumarate:proton symport	REVERSIBLE	C4-dicarboxylate transmembrane transporter activity // succinate:fumarate antiporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	succinate transmembrane transport // fumarate transport // C4-dicarboxylate transport // mixed acid fermentation
oleate + ATP + coenzyme A  ->  oleoyl-CoA + AMP + diphosphate // propanoate + ATP + coenzyme A  ->  propanoyl-CoA + AMP + diphosphate // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated fatty acid + ATP + coenzyme A + H+  ->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate + H+ // cis-vaccenate + ATP + coenzyme A + H+  ->  cis-vaccenoyl-CoA + AMP + diphosphate + H+ // oleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  oleoyl-CoA + AMP + diphosphate + H+ // palmitoleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  palmitoleoyl-CoA + AMP + diphosphate + H+	short chain acyl-CoA synthetase	fadK	oleate + ATP + coenzyme A  ->  oleoyl-CoA + AMP + diphosphate // propanoate + ATP + coenzyme A  ->  propanoyl-CoA + AMP + diphosphate // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated fatty acid + ATP + coenzyme A + H+  ->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate + H+ // cis-vaccenate + ATP + coenzyme A + H+  ->  cis-vaccenoyl-CoA + AMP + diphosphate + H+ // oleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  oleoyl-CoA + AMP + diphosphate + H+ // palmitoleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  palmitoleoyl-CoA + AMP + diphosphate + H+	PHYSIOL-LEFT-TO-RIGHT	ligase activity // ATP binding // nucleotide binding // medium-chain fatty acid-CoA ligase activity	plasma membrane // membrane // cytosol	fatty acid beta-oxidation // fatty acid metabolic process // lipid metabolic process // fatty acid oxidation
L-arabinose:proton antiport	L-arabinose exporter	ydeA	L-arabinose:proton antiport	REVERSIBLE	transmembrane transporter activity // carbohydrate transmembrane transporter activity	integral component of membrane // membrane // plasma membrane	carbohydrate transmembrane transport // transmembrane transport // carbohydrate transport
pseudouridine:proton symport	putative pseudouridine transporter	psuT	pseudouridine:proton symport	REVERSIBLE	symporter activity // nucleoside transmembrane transporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	nucleoside transmembrane transport
S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol]	CP4-6 prophage; <i>S</i>-methyl-L-methionine transporter	mmuP	S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol]	LEFT-TO-RIGHT	amino acid transmembrane transporter activity // S-methylmethionine transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // amino acid transmembrane transport // amino acid transport // S-methylmethionine transport // methionine biosynthetic process
HPr-Phis15 + 2-O-(alpha-D-mannosyl)-D-glycerate[periplasm]  ->  2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate[cytosol] + phosphocarrier protein HPr	2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II	mngA	HPr-Phis15 + 2-O-(alpha-D-mannosyl)-D-glycerate[periplasm]  ->  2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate[cytosol] + phosphocarrier protein HPr	PHYSIOL-LEFT-TO-RIGHT	protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity // transferase activity // kinase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // protein binding // carbohydrate:proton symporter activity // protein-phosphocysteine-sugar phosphotransferase activity // protein-phosphocysteine-mannosylglycerate-phosphotransferase system transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // carbohydrate transmembrane transport // phosphorylation // fructose transmembrane transport // carbohydrate transport // mannosylglycerate transport // phosphoenolpyruvate-dependent sugar phosphotransferase system
L-fucose:proton symport // D-arabinose:proton symport // L-galactose:proton symport	L-fucose:H+ symporter	fucP	L-fucose:proton symport // D-arabinose:proton symport // L-galactose:proton symport	LEFT-TO-RIGHT // REVERSIBLE	transmembrane transporter activity // symporter activity // fucose transmembrane transporter activity // arabinose:proton symporter activity // galactose:proton symporter activity // fucose:proton symporter activity // hexose:proton symporter activity	membrane // plasma membrane // integral component of membrane	carbohydrate transport // transmembrane transport // fucose metabolic process // carbohydrate metabolic process // fructose transmembrane transport // fucose transmembrane transport // galactose transmembrane transport // arabinose transmembrane transport
potassium:proton antiport // sodium:proton antiport // drug:proton antiport // ethidium:proton antiport // dequalinium:proton antiport	multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	mdfA	potassium:proton antiport // sodium:proton antiport // drug:proton antiport // ethidium:proton antiport // dequalinium:proton antiport	REVERSIBLE // LEFT-TO-RIGHT	xenobiotic transmembrane transporter activity // transmembrane transporter activity // solute:proton antiporter activity // potassium:proton antiporter activity // sodium:proton antiporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	anion transmembrane transport // potassium ion transmembrane transport // sodium ion transmembrane transport // transmembrane transport // xenobiotic detoxification by transmembrane export across the plasma membrane // regulation of cellular pH // response to antibiotic
melibiose:proton symport // melibionate:proton symport // melibiose:Li<sup>+</sup> symport // melibiose:Na<sup>+</sup> symport // &beta;-methylgalactoside:Na<sup>+</sup> symport // &alpha;-methylgalactoside:proton symport	melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter	melB	melibiose:proton symport // melibionate:proton symport // melibiose:Li<sup>+</sup> symport // melibiose:Na<sup>+</sup> symport // &beta;-methylgalactoside:Na<sup>+</sup> symport // &alpha;-methylgalactoside:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // protein binding // methylgalactoside transmembrane transporter activity // melibiose:sodium symporter activity // glycoside-pentoside-hexuronide:cation symporter activity // melibiose:cation symporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	organic substance transport // transmembrane transport // sodium ion transmembrane transport // carbohydrate transmembrane transport // carbohydrate transport // sodium ion transport // melibiose transport // methylgalactoside transport
L-glutamate:4-aminobutanoate antiport	L-glutamate:4-aminobutyrate antiporter	gadC	L-glutamate:4-aminobutanoate antiport	REVERSIBLE	transmembrane transporter activity // antiporter activity	integral component of membrane // membrane // plasma membrane	transmembrane transport // amino acid transport // intracellular pH elevation
pyruvate:proton symport	pyruvate:H<sup>+</sup> symporter	btsT	pyruvate:proton symport	REVERSIBLE	symporter activity // identical protein binding // protein binding // pyruvate secondary active transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	cellular response to DNA damage stimulus // plasma membrane pyruvate transport // cellular response to nutrient levels // cellular response to starvation
a long-chain fatty acid[extracellular space]  ->  a long-chain fatty acid[periplasm]	long-chain fatty acid outer membrane channel / bacteriophage T2 receptor	fadL	a long-chain fatty acid[extracellular space]  ->  a long-chain fatty acid[periplasm]	LEFT-TO-RIGHT	ligand-gated channel activity // long-chain fatty acid transporting porin activity	integral component of membrane // membrane // cell outer membrane	fatty acid transport // transmembrane transport // lipid transport // long-chain fatty acid transport
aspartate:proton symport // L-glutamate:proton symport	glutamate/aspartate : H<sup>+</sup> symporter GltP	gltP	aspartate:proton symport // L-glutamate:proton symport	REVERSIBLE	transmembrane transporter activity // amino acid:proton symporter activity // symporter activity	membrane // integral component of membrane // plasma membrane	amino acid transmembrane transport // proton transmembrane transport // transmembrane transport // amino acid transport // dicarboxylic acid transport
guanosine:proton antiport // inosine:proton antiport	purine ribonucleoside exporter	nepI	guanosine:proton antiport // inosine:proton antiport	REVERSIBLE	transmembrane transporter activity // purine nucleoside transmembrane transporter activity	integral component of membrane // membrane // plasma membrane	transmembrane transport // purine nucleoside transmembrane transport
L-lysine[cytosol]  ->  L-lysine[periplasm]	L-lysine exporter	lysO	L-lysine[cytosol]  ->  L-lysine[periplasm]	LEFT-TO-RIGHT	L-lysine efflux transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	amino acid transport // L-lysine transmembrane transport
putrescine:proton symport // putrescine:ornithine antiport	putrescine transporter PotE	potE	putrescine:proton symport // putrescine:ornithine antiport	REVERSIBLE	transmembrane transporter activity // putrescine transmembrane transporter activity // antiporter activity // putrescine:ornithine antiporter activity // symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // ornithine transport // L-ornithine transmembrane transport // amino acid transport // putrescine transport
muropeptide:proton symport // muropeptide:proton symport	muropeptide:H<sup>+</sup> symporter	ampG	muropeptide:proton symport // muropeptide:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // solute:proton symporter activity	integral component of membrane // membrane // plasma membrane	proton transmembrane transport // cell wall organization // transmembrane transport // peptidoglycan transport // peptidoglycan metabolic process
L-threonine:proton antiport	L-threonine exporter	rhtC	L-threonine:proton antiport	REVERSIBLE	amino acid transmembrane transporter activity // secondary active transmembrane transporter activity // threonine efflux transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	amino acid transmembrane transport // amino acid transport // threonine transport
L-serine:proton symport	L-serine:H+ symporter SdaC	sdaC	L-serine:proton symport	REVERSIBLE	amino acid transmembrane transporter activity // L-serine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	amino acid transport // amino acid transmembrane transport // L-serine transport
D-alanine:proton symport // D-serine:proton symport // glycine:proton symport // L-alanine:proton symport // &beta;-alanine:proton symport // D-cycloserine:proton symport	D-serine/alanine/glycine/:H<sup>+</sup>symporter	cycA	D-alanine:proton symport // D-serine:proton symport // glycine:proton symport // L-alanine:proton symport // &beta;-alanine:proton symport // D-cycloserine:proton symport	REVERSIBLE	D-serine transmembrane transporter activity // D-alanine transmembrane transporter activity // L-alanine transmembrane transporter activity // beta-alanine transmembrane transporter activity // glycine transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // amino acid transport // D-alanine transport // L-alanine transport // beta-alanine transport // glycine transport // D-serine transport
L-serine:proton symport // L-threonine:proton symport	threonine/serine:H<sup>+</sup> symporter	tdcC	L-serine:proton symport // L-threonine:proton symport	REVERSIBLE	amino acid transmembrane transporter activity // serine transmembrane transporter activity // symporter activity // threonine efflux transmembrane transporter activity // L-serine transmembrane transporter activity // L-threonine transmembrane transporter activity // solute:proton symporter activity	membrane // integral component of plasma membrane // plasma membrane // integral component of membrane	proton transmembrane transport // serine transport // amino acid transport // amino acid transmembrane transport // L-serine transport // threonine transport
nitrite[periplasm]  ->  nitrite[cytosol] // nitrate:nitrite antiport	nitrate:nitrite antiporter NarK	narK	nitrite[periplasm]  ->  nitrite[cytosol] // nitrate:nitrite antiport	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT	transmembrane transporter activity // nitrite transmembrane transporter activity // nitrate transmembrane transporter activity // inorganic anion exchanger activity // high-affinity secondary active nitrite transmembrane transporter activity // nitrite efflux transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // nitrate assimilation // nitrate transport // nitrite transport
drug:Na<sup>+</sup> antiport // norfloxacin:Na<sup>+</sup> antiport // tetraphenylphosphonium:Na<sup>+</sup> antiport // deoxycholate:Na<sup>+</sup> antiport	multidrug efflux pump MdtK	mdtK	drug:Na<sup>+</sup> antiport // norfloxacin:Na<sup>+</sup> antiport // tetraphenylphosphonium:Na<sup>+</sup> antiport // deoxycholate:Na<sup>+</sup> antiport	REVERSIBLE	transmembrane transporter activity // antiporter activity // solute:cation antiporter activity // xenobiotic transmembrane transporter activity // dipeptide transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	cation transmembrane transport // xenobiotic transmembrane transport // peptide transport // protein transport // transmembrane transport // sodium ion transport // ion transport // xenobiotic transport // xenobiotic detoxification by transmembrane export across the plasma membrane // dipeptide transmembrane transport // cellular response to reactive oxygen species // response to antibiotic
xanthine:proton symport	xanthine:H+ symporter XanQ	xanQ	xanthine:proton symport	REVERSIBLE	transmembrane transporter activity // xanthine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	transmembrane transport // xanthine transport
hypoxanthine[periplasm] + H+[periplasm]  ->  hypoxanthine[cytosol] + H+[cytosol] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]	guanine/hypoxanthine transporter GhxQ	ghxQ	hypoxanthine[periplasm] + H+[periplasm]  ->  hypoxanthine[cytosol] + H+[cytosol] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]	RIGHT-TO-LEFT // LEFT-TO-RIGHT	transmembrane transporter activity // purine nucleobase transmembrane transporter activity // guanine transmembrane transporter activity	integral component of membrane // integral component of plasma membrane // plasma membrane // membrane	transmembrane transport // guanine import across plasma membrane // hypoxanthine transport
galactonate:proton symport	D-galactonate:H<sup>+</sup> symporter	dgoT	galactonate:proton symport	REVERSIBLE	transmembrane transporter activity // solute:proton symporter activity // D-galactonate transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // transmembrane transport // D-galactonate transmembrane transport // D-galactonate catabolic process
tripeptide:proton symport // dipeptide:proton symport	dipeptide/tripeptide:H<sup>+</sup> symporter DtpC	dtpC	tripeptide:proton symport // dipeptide:proton symport	REVERSIBLE	peptide transmembrane transporter activity // transmembrane transporter activity // symporter activity // dipeptide transmembrane transporter activity // proton transmembrane transporter activity // tripeptide transmembrane transporter activity // peptide:proton symporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	transmembrane transport // peptide transport // oligopeptide transport // protein transport // proton transmembrane transport // dipeptide transmembrane transport // tripeptide transmembrane transport
chloride:proton antiport	putative chloride:H<sup>+</sup> antiporter ClcB	clcB	chloride:proton antiport	REVERSIBLE	voltage-gated chloride channel activity // voltage-gated ion channel activity // chloride channel activity	chloride channel complex // integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // response to acidic pH // regulation of ion transmembrane transport // chloride transport // ion transport // cellular response to acidic pH // chloride transmembrane transport
D-gluconate:proton symport	low-affinity gluconate transporter	gntU	D-gluconate:proton symport	REVERSIBLE	carbohydrate:cation symporter activity // gluconate transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	carbohydrate transmembrane transport // carbohydrate transport // D-gluconate metabolic process // gluconate transmembrane transport
D-galacturonate:proton symport // D-glucuronate:proton symport	hexuronate transporter	exuT	D-galacturonate:proton symport // D-glucuronate:proton symport	REVERSIBLE	transmembrane transporter activity // hexuronate transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	hexuronide transport // transmembrane transport // hexuronate transmembrane transport
dipeptide:proton symport	dipeptide:H<sup>+</sup> symporter DtpD	dtpD	dipeptide:proton symport	REVERSIBLE	peptide transmembrane transporter activity // tripeptide transmembrane transporter activity // transmembrane transporter activity // peptide:proton symporter activity // dipeptide transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // tripeptide transport // dipeptide transport // transmembrane transport // peptide transport // oligopeptide transport // protein transport // dipeptide transmembrane transport
glycolate:proton symport // lactate:proton symport // lactate:proton symport // hydroxybutanoate:proton symport	glycolate/lactate:H<sup>+</sup> symporter GlcA	glcA	glycolate:proton symport // lactate:proton symport // lactate:proton symport // hydroxybutanoate:proton symport	REVERSIBLE // LEFT-TO-RIGHT	solute:proton symporter activity // glycolate transmembrane transporter activity // lactate transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // lactate transport // lactate transmembrane transport
cytosine:proton symport	cytosine transporter	codB	cytosine:proton symport	LEFT-TO-RIGHT	transmembrane transporter activity // cytosine transmembrane transporter activity // solute:proton symporter activity	integral component of membrane // integral component of plasma membrane // plasma membrane // membrane	proton transmembrane transport // transmembrane transport // cytosine metabolic process // cytosine transport
ethidium[cytosol]  ->  ethidium[periplasm]	tellurite resistance protein	tehA	ethidium[cytosol]  ->  ethidium[periplasm]	LEFT-TO-RIGHT	identical protein binding // cation efflux transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	cation transmembrane transport // ion transport // response to antibiotic // cation transport // transmembrane transport // response to tellurium ion
preQ0[periplasm]  ->  preQ0[cytosol]	queuosine precursor transporter	yhhQ	preQ0[periplasm]  ->  preQ0[cytosol]	PHYSIOL-LEFT-TO-RIGHT	transmembrane transporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	transmembrane transport // pyrimidine-containing compound transmembrane transport // queuosine salvage
nitrite[periplasm]  ->  nitrite[cytosol]	nitrite transporter NirC	nirC	nitrite[periplasm]  ->  nitrite[cytosol]	LEFT-TO-RIGHT	formate transmembrane transporter activity // transmembrane transporter activity // high-affinity secondary active nitrite transmembrane transporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	formate transport // transmembrane transport // nitrate assimilation // nitrite transport
D-serine[periplasm]  ->  D-serine[cytosol]	D-serine transporter	dsdX	D-serine[periplasm]  ->  D-serine[cytosol]	LEFT-TO-RIGHT	gluconate transmembrane transporter activity // D-serine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	amino acid transport // gluconate transmembrane transport // cellular response to DNA damage stimulus // D-serine transport
pyridoxine[periplasm]  ->  pyridoxine[cytosol]	pyridoxine transporter		pyridoxine[periplasm]  ->  pyridoxine[cytosol]	LEFT-TO-RIGHT			
putrescine:proton symport	putrescine:H+ symporter PlaP	plaP	putrescine:proton symport	REVERSIBLE	transmembrane transporter activity // putrescine transmembrane transporter activity // solute:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // proton transmembrane transport // amino acid transport // putrescine transport // cell motility
galactose:proton symport // D-glucose:proton symport	galactose:H<sup>+</sup> symporter	galP	galactose:proton symport // D-glucose:proton symport	REVERSIBLE // PHYSIOL-LEFT-TO-RIGHT	transmembrane transporter activity // symporter activity // galactose:proton symporter activity	integral component of membrane // membrane // plasma membrane	carbohydrate transport // transmembrane transport // galactose transmembrane transport
Zn2+[cytosol] + ATP + H2O  ->  Zn2+[periplasm] + ADP + phosphate + H+ // Cd2+[cytosol] + ATP + H2O  ->  Cd2+[periplasm] + ADP + phosphate + H+ // Pb2+[cytosol] + ATP + H2O  ->  Pb2+[periplasm] + ADP + phosphate + H+	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase	zntA	Zn2+[cytosol] + ATP + H2O  ->  Zn2+[periplasm] + ADP + phosphate + H+ // Cd2+[cytosol] + ATP + H2O  ->  Cd2+[periplasm] + ADP + phosphate + H+ // Pb2+[cytosol] + ATP + H2O  ->  Pb2+[periplasm] + ADP + phosphate + H+	PHYSIOL-LEFT-TO-RIGHT	cadmium ion transmembrane transporter activity // zinc ion transmembrane transporter activity // ATPase-coupled cation transmembrane transporter activity // metal ion binding // ATP binding // nucleotide binding // ATP hydrolysis activity // lead ion transmembrane transporter activity // P-type cadmium transporter activity // P-type zinc transporter activity	integral component of plasma membrane // membrane // plasma membrane // integral component of membrane	cation transport // metal ion transport // ion transport // zinc ion transport // detoxification of zinc ion // nickel cation transmembrane transport // cellular zinc ion homeostasis // response to zinc ion // response to lead ion // cation transmembrane transport // zinc ion transmembrane transport // cadmium ion transmembrane transport // response to cadmium ion // lead ion transport
<i>p</i>-aminobenzoyl glutamate: proton symport	<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter	abgT	<i>p</i>-aminobenzoyl glutamate: proton symport	REVERSIBLE	secondary active transmembrane transporter activity // secondary active p-aminobenzoyl-glutamate transmembrane transporter activity	membrane // plasma membrane // integral component of membrane	p-aminobenzoyl-glutamate transmembrane transport // amino acid transport // p-aminobenzoyl-glutamate transport
cyanate[periplasm]  ->  cyanate[cytosol]	cyanate transporter	cynX	cyanate[periplasm]  ->  cyanate[cytosol]	LEFT-TO-RIGHT	transmembrane transporter activity	membrane // plasma membrane // integral component of membrane	transmembrane transport // cyanate catabolic process
succinate:proton symport // fumarate:proton symport // C4-dicarboxylate:proton symport // malate:proton symport // aspartate:proton symport // orotate:proton symport // fumarate:proton symport // malate:proton symport // succinate:proton symport	C4 dicarboxylate/orotate:H<sup>+</sup> symporter	dctA	succinate:proton symport // fumarate:proton symport // C4-dicarboxylate:proton symport // malate:proton symport // aspartate:proton symport // orotate:proton symport // fumarate:proton symport // malate:proton symport // succinate:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // protein binding // malate:proton symporter activity // succinate transmembrane transporter activity // fumarate transmembrane transporter activity // L-aspartate transmembrane transporter activity	membrane // integral component of plasma membrane // plasma membrane // integral component of membrane	malate transmembrane transport // succinate transmembrane transport // dicarboxylic acid transport // cellular response to DNA damage stimulus // L-aspartate transmembrane transport // fumarate transport
L-cysteine export // <i>O</i>-acetyl-L-serine export	cysteine/<i>O</i>-acetylserine exporter EamA	eamA	L-cysteine export // <i>O</i>-acetyl-L-serine export	LEFT-TO-RIGHT	efflux transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	amino acid transport // cellular response to hydrogen peroxide // cysteine export across plasma membrane
adenine:proton symport	adenine:H<sup>+</sup> symporter	adeP	adenine:proton symport	REVERSIBLE	nucleobase transmembrane transporter activity // purine nucleobase transmembrane transporter activity // transmembrane transporter activity // adenine transmembrane transporter activity // solute:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	purine nucleobase transmembrane transport // proton transmembrane transport // transmembrane transport // adenine transport
L-serine:Na<sup>+</sup> symport	serine/threonine:Na+ symporter	sstT	L-serine:Na<sup>+</sup> symport	REVERSIBLE	transmembrane transporter activity // amino acid transmembrane transporter activity // symporter activity // neutral amino acid transmembrane transporter activity // neutral amino acid:sodium symporter activity	membrane // integral component of membrane // plasma membrane	amino acid transmembrane transport // transmembrane transport // amino acid transport // threonine transport // serine transport
Mn<sup>2+</sup> export	Mn2+ exporter	mntP	Mn<sup>2+</sup> export	LEFT-TO-RIGHT	manganese ion transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	ion transport // manganese ion transmembrane transport // response to manganese ion
tripeptide:proton symport // dipeptide:proton symport	dipeptide/tripeptide:H<sup>+</sup> symporter DtpB	dtpB	tripeptide:proton symport // dipeptide:proton symport	REVERSIBLE	peptide transmembrane transporter activity // transmembrane transporter activity // proton transmembrane transporter activity // dipeptide transmembrane transporter activity // peptide:proton symporter activity // tripeptide transmembrane transporter activity	membrane // integral component of membrane // integral component of plasma membrane // plasma membrane	tripeptide transport // dipeptide transport // transmembrane transport // peptide transport // oligopeptide transport // protein transport // proton transmembrane transport // dipeptide transmembrane transport // tripeptide transmembrane transport
2,7-anhydro-N-acetylneuraminate:H<sup>+</sup> symport	sialic acid transporter NanX	nanX	2,7-anhydro-N-acetylneuraminate:H<sup>+</sup> symport	REVERSIBLE	transmembrane transporter activity // carboxylic acid transmembrane transporter activity	integral component of membrane // membrane // plasma membrane	carboxylic acid transport // transmembrane transport // carboxylic acid transmembrane transport
tryptophan:proton symport // L-tyrosine:proton symport // phenylalanine:proton symport	aromatic amino acid:H<sup>+</sup> symporter AroP	aroP	tryptophan:proton symport // L-tyrosine:proton symport // phenylalanine:proton symport	REVERSIBLE	L-phenylalanine transmembrane transporter activity // L-tryptophan transmembrane transporter activity // L-tyrosine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	transmembrane transport // amino acid transport // phenylalanine transport // tryptophan transport // tyrosine transport
hypoxanthine[periplasm] + H+[periplasm]  ->  hypoxanthine[cytosol] + H+[cytosol] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]	guanine/hypoxanthine transporter GhxP	ghxP	hypoxanthine[periplasm] + H+[periplasm]  ->  hypoxanthine[cytosol] + H+[cytosol] // guanine[periplasm] + H+[periplasm]  ->  guanine[cytosol] + H+[cytosol]	RIGHT-TO-LEFT // LEFT-TO-RIGHT	transmembrane transporter activity // guanine transmembrane transporter activity // purine nucleobase transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // guanine import across plasma membrane // hypoxanthine transport // purine nucleobase transport
